id,title,runtime,imdb_id,imdb_score,imdb_votes
ts82979,Talking Tom and Friends,11,tt4648640,6.1,411.0
ts10206,Ever After High,30,tt3312378,7.7,1130.0
ts20709,Yowamushi Pedal,24,tt2942228,7.7,808.0
ts32060,Sam & Cat,24,tt2487090,5.6,9507.0
ts22445,The Heirs,59,tt3243098,7.5,10329.0
ts20790,Young & Hungry,21,tt2084712,7.3,15627.0
ts20883,"Nicky, Ricky, Dicky & Dawn",23,tt3596176,5.1,2551.0
ts33590,The Haunted Hathaways,24,tt2535732,5.0,2471.0
ts21368,Black Money Love,90,tt3565486,7.4,5975.0
ts2161,Angry Birds Toons,2,tt3012598,6.2,800.0
ts34066,Mako Mermaids: An H2O Adventure,25,tt2548214,6.7,3924.0
ts53641,Lalaloopsy,23,tt2827502,6.4,104.0
ts37187,Senora Acero,43,tt3904068,6.8,375.0
ts58137,Pac-Man and the Ghostly Adventures,22,tt2392179,4.8,635.0
ts75104,Zbrodnia,45,tt4173216,6.2,660.0
ts521,Black Ink Crew New York,41,tt2738096,4.6,459.0
ts33840,Nagi-Asu: A Lull in the Sea,23,tt3104236,7.3,1152.0
ts88394,Moving Art,28,tt6953912,8.6,442.0
ts58010,VeggieTales in the House,18,tt3692064,4.3,300.0
ts83239,Booba,4,tt6581428,7.0,390.0
ts16117,20 Minutes,45,tt2544148,7.3,1681.0
ts154625,Dérapages,53,tt12101170,7.9,14.0
ts76743,Dokidoki! PreCure,23,tt4621212,6.3,188.0
ts75833,Masha's Spooky Stories,5,tt4570676,6.1,65.0
ts3799,All Hail King Julien,23,tt3807022,7.0,2008.0
ts35628,Some Assembly Required,25,tt1160042,8.5,22.0
ts20781,Incomplete Life,73,tt4240730,8.6,1883.0
ts121189,"Raja, Rasoi Aur Anya Kahaniyaan",29,tt6953924,9.0,327.0
ts34074,"That Winter, the Wind Blows",63,tt2806646,7.6,1803.0
ts122290,Dharmakshetra,44,tt6803712,8.2,247.0
ts82860,Against the Tide,44,tt7131682,7.6,11.0
ts36127,Turbo FAST,19,tt3010520,6.5,593.0
ts67797,Sammy & Co,14,tt2580128,5.6,30.0
ts20238,Boss & Me,45,tt6186406,7.3,424.0
ts32752,Two Fathers,44,tt6707142,8.0,54.0
ts107543,Mystic Whispers,26,tt8834748,6.9,17.0
ts261583,Ojo's in d' House,24,tt12960266,6.1,11.0
ts8,Better Call Saul,49,tt3032476,8.8,404920.0
ts36577,The Last Kingdom,55,tt4179452,8.5,126473.0
ts38796,Stranger Things,52,tt4575572,8.7,989090.0
ts21867,Schitt's Creek,22,tt3526078,8.5,112537.0
ts37143,Alone,48,tt4803766,8.4,4622.0
ts35251,Grace and Frankie,30,tt3609352,8.2,48435.0
ts41766,The Good Place,23,tt4955642,8.2,148562.0
ts36885,Ash vs Evil Dead,30,tt4189022,8.4,70087.0
ts37539,One-Punch Man,24,tt4508902,8.7,148386.0
ts37490,Chicago Med,41,tt4655480,7.6,24142.0
ts41961,Queen of the South,42,tt1064899,7.9,28537.0
ts42069,The Crown,56,tt4786824,8.7,190878.0
ts37866,Call My Agent!,55,tt4277922,8.3,13331.0
ts38304,Servant of the People,29,tt6235122,7.3,2706.0
ts36952,Documentary Now!,22,tt4677934,8.1,6445.0
ts35793,Forged in Fire,42,tt4680444,8.3,3538.0
ts39007,Van Helsing,42,tt5197820,6.1,21852.0
ts35201,Food Wars! Shokugeki no Soma,24,tt0417325,8.2,9651.0
ts36147,Lucifer,47,tt4052886,8.1,308291.0
ts36550,DC's Legends of Tomorrow,42,tt4532368,6.8,101178.0
ts38199,The Magicians,44,tt4254242,7.6,49557.0
ts53051,The OA,55,tt4635282,7.9,100911.0
ts47714,Kim's Convenience,22,tt5912064,8.3,16970.0
ts21869,Sense8,62,tt2431438,8.2,151518.0
ts42170,Crashing,30,tt5295524,7.7,18546.0
ts70529,Norsemen,30,tt5905354,7.7,18040.0
ts18010,Bloodline,57,tt0219432,7.9,50028.0
ts38718,Slasher,46,tt13976072,6.7,14071.0
ts42120,Travelers,45,tt5651844,8.0,54566.0
ts36631,Narcos,52,tt2707408,8.8,404486.0
ts42062,Miraculous: Tales of Ladybug & Cat Noir,22,tt2580046,7.7,10102.0
ts41956,Designated Survivor,44,tt5296406,7.5,88019.0
ts52922,Leah Remini: Scientology and the Aftermath,46,tt6244192,9.0,5761.0
ts36015,Into the Badlands,43,tt3865236,7.9,45628.0
ts21981,iZombie,42,tt3501584,7.8,66488.0
ts38710,Wynonna Earp,43,tt4878326,7.3,22256.0
ts35253,Dark Matter,43,tt3116070,7.5,41867.0
ts35554,Scream: The TV Series,43,tt3921180,7.1,40082.0
ts38090,Versailles,54,tt3830558,7.9,16273.0
ts42014,60 Days In,46,tt10112398,7.6,2616.0
ts35563,Supergirl,42,tt4016454,6.2,121939.0
ts36129,Crazy Ex-Girlfriend,42,tt4094300,7.8,19738.0
ts42077,Medici: Masters of Florence,54,tt5057130,7.9,18575.0
ts42687,PJ Masks,15,tt4148744,5.4,1214.0
ts38734,Marcella,45,tt5269594,7.4,30373.0
ts53099,Bordertown,59,tt4937942,7.6,10371.0
ts53664,Fauda,40,tt4565380,8.3,25239.0
ts42022,El marginal,54,tt5820976,8.2,3799.0
ts38415,Frontier,46,tt4686698,7.1,20706.0
ts43209,The Cuba Libre Story,45,tt5319838,7.6,1583.0
ts42169,ERASED,22,tt5249462,8.5,42699.0
ts41289,Flowers,25,tt5619658,8.1,5468.0
ts38511,Love,32,tt4061080,7.7,41362.0
ts21986,Good Witch,43,tt3906732,7.2,10392.0
ts41149,The Ranch,30,tt4998212,7.4,37890.0
ts52829,Paranoid,44,tt5839454,6.7,8343.0
ts35775,Wet Hot American Summer: First Day of Camp,30,tt4341672,7.4,23674.0
ts41975,Shooter,41,tt4181172,7.5,35547.0
ts41490,Hap and Leonard,42,tt3729898,7.6,7577.0
ts36177,Glitch,52,tt4192782,7.3,17240.0
ts37464,Occupied,45,tt4192998,7.7,8839.0
ts37971,Master of None,32,tt4635276,8.3,72341.0
ts21885,Unbreakable Kimmy Schmidt,30,tt3339966,7.6,70242.0
ts38783,Secret City,50,tt4976512,7.4,7831.0
ts36983,Fuller House,27,tt3986586,6.7,27148.0
ts41963,Easy,30,tt5562056,6.9,13569.0
ts52838,3%,45,tt4922804,7.3,25077.0
ts38204,Making a Murderer,62,tt5189670,8.6,93456.0
ts36046,BUNK'D,24,tt4591680,5.3,3174.0
ts36545,Quantico,43,tt4428122,6.6,60305.0
ts36856,F is for Family,28,tt4326894,8.0,36050.0
ts35362,Locked Up,50,tt4524056,8.2,21388.0
ts35354,Zoo,43,tt3250026,6.6,24479.0
ts38758,Ajin,24,tt5537534,7.6,6121.0
ts41913,Frequency,18,tt5531470,7.5,13625.0
ts42655,Wanted,45,tt5193358,7.6,5693.0
ts3844,Aquarius,43,tt4744218,7.1,12112.0
ts53287,Roman Empire,48,tt6233538,7.0,7539.0
ts42156,Degrassi: Next Class,24,tt10947610,6.8,3205.0
ts41906,The Disastrous Life of Saiki K.,10,tt6354518,8.4,6649.0
ts38116,Mobile Suit Gundam: Iron-Blooded Orphans,24,tt5344382,7.9,1623.0
ts35256,Chef's Table,50,tt4295140,8.5,15176.0
ts53249,Trollhunters: Tales of Arcadia,22,tt1734135,8.4,16509.0
ts42043,March Comes in Like a Lion,25,tt6074794,8.4,2586.0
ts35577,God Eater,23,tt5240222,7.0,1911.0
ts52830,Gilmore Girls: A Year in the Life,92,tt5435008,7.6,36359.0
ts38731,Rebellion,51,tt4699982,7.1,3658.0
ts42127,The Windsors,27,tt5692740,7.1,2648.0
ts41948,Hip Hop Evolution,48,tt6319696,8.4,5772.0
ts38809,The Get Down,62,tt4592410,8.2,22304.0
ts79799,Dragons: Race to the Edge,22,tt4816058,8.2,6161.0
ts38568,Flaked,32,tt4973548,7.2,11264.0
ts37944,A Very Secret Service,27,tt4367560,7.7,3461.0
ts42137,Voltron: Legendary Defender,24,tt5580664,8.1,8706.0
ts35987,Transformers: Robots In Disguise,21,tt3604232,6.0,1048.0
ts53155,Crazyhead,43,tt6038584,7.2,4985.0
ts38770,Lady Dynamite,30,tt4789300,7.3,3655.0
ts42038,No Tomorrow,47,tt1527428,7.3,5101.0
ts42119,Greenleaf,42,tt4971144,7.3,5158.0
ts76079,Grizzy & the Lemmings,7,tt6717058,7.1,579.0
ts41995,Zumbo's Just Desserts,52,tt7239256,6.9,2125.0
ts76956,The Letdown,30,tt7320300,7.5,3253.0
ts54028,Case,46,tt7875988,7.0,2688.0
ts78325,Sinatra: All or Nothing at All,122,tt3838978,8.0,2354.0
ts11670,The Adventures of Puss in Boots,23,tt3807034,6.6,1696.0
ts42090,Last Chance U,55,tt5863126,8.4,6789.0
ts86021,Molang,3,tt6046238,8.4,346.0
ts42257,Signal,71,tt5332206,8.6,6338.0
ts35406,Between,25,tt4531748,6.0,9059.0
ts128895,Midnight Diner: Tokyo Stories,28,tt6150576,8.4,4109.0
ts37660,Reply 1988,95,tt5182866,9.2,6557.0
ts119087,Sunny Bunnies,3,tt7264084,6.6,95.0
ts41258,Cinderella and Four Knights,61,tt5764414,7.5,3663.0
ts81483,Simon,5,tt7699866,7.0,127.0
ts37896,Conspiracy,43,tt4761054,6.2,367.0
ts52943,The Sound of Your Heart,24,tt4613520,8.2,1075.0
ts21979,Spotless,58,tt10800582,7.7,3635.0
ts36547,Club de Cuervos,44,tt4680240,8.2,5514.0
ts84398,Little Things,25,tt6522580,8.2,6461.0
ts77654,Care Bears and Cousins,23,tt4680360,6.8,82.0
ts39014,Kuromukuro,24,tt5895314,7.2,1265.0
ts38764,Marseille,46,tt4003966,6.9,5083.0
ts54110,Puffin Rock,11,tt3590338,8.7,891.0
ts54156,Chef's Table: France,60,tt6088326,8.2,1723.0
ts38230,The Method,51,tt5135336,7.4,2784.0
ts51368,Skylanders Academy,23,tt5916218,6.7,730.0
ts66540,"Can't Cope, Won't Cope",23,tt5674872,7.3,880.0
ts75829,Lego Bionicle: The Journey to One,17,tt5075942,5.5,170.0
ts56674,The Mr. Peabody & Sherman Show,23,tt5021206,5.7,433.0
ts35360,Inspector Gadget,21,tt3910690,4.5,614.0
ts35359,Heidi,27,tt4346362,7.2,234.0
ts37779,Danger Mouse,12,tt4196822,7.2,579.0
ts42089,Haters Back Off,30,tt5467814,6.1,7183.0
ts42075,Intersection,97,tt5303668,6.7,1152.0
ts43272,Terrace House: Boys & Girls in the City,29,tt4790546,8.1,1624.0
ts41883,The K2,65,tt8535796,7.9,5615.0
ts36630,Dinotrux,23,tt1396212,6.8,458.0
ts41260,"Hello, My Twenties!",63,tt5858892,8.3,2127.0
ts39017,Dawn of the Croods,23,tt5193172,5.8,712.0
ts38757,Kong: King of the Apes,21,tt5462936,5.9,325.0
ts35596,Bella and the Bulldogs,23,tt3596178,5.0,2114.0
ts144323,Unnatural Selection,35,tt11063952,8.1,12.0
ts42218,Sin senos sí hay paraíso,47,tt5676412,6.5,546.0
ts38512,Cooked,53,tt5347906,7.6,43.0
ts41294,Mossad 101,42,tt4354042,6.8,632.0
ts43501,Secrets of Great British Castles,51,tt5181284,7.8,1031.0
ts42628,Netflix Presents: The Characters,31,tt5228026,5.3,835.0
ts36740,Project Mc²,24,tt4861760,6.1,985.0
ts53076,El Chema,44,tt5730624,6.9,303.0
ts53106,Tokyo Trial,49,tt6422918,7.4,1544.0
ts41253,Love O2O,45,tt6092878,8.0,2322.0
ts38717,Good Morning Call,48,tt5520732,7.7,3088.0
ts58068,Inside the World's Toughest Prisons,48,tt8594220,7.1,2747.0
ts38805,Beat Bugs,15,tt4716268,7.6,522.0
ts52988,Captive,63,tt6246500,6.8,724.0
ts38761,Another Miss Oh,69,tt5679572,7.9,1769.0
ts56748,T@gged,22,tt5881326,7.3,2012.0
ts43230,The Deep,22,tt4991910,8.1,645.0
ts56032,La Niña,45,tt5677942,8.3,642.0
ts55559,Ask the Storybots,26,tt5846856,8.4,870.0
ts75324,La esclava blanca,41,tt5458128,8.1,575.0
ts54100,World of Winx,23,tt5874596,6.6,715.0
